U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss
5,5,Linear Elfouhaily,0.0191808451274418,0.0132566092182837,0.0324374543457255,0.831347045615665,0.00875244019272903,0.0236850141529965
5,5,MSS-Constrained Modified Lie,0.0168624573673995,0.0131971602021599,0.0300596175695593,0.884666968551176,0.00807447870323136,0.021985138866328
5,6,Linear Elfouhaily,0.0190062634142206,0.0130295037701042,0.0320357671843248,0.8279718392622,0.00864444620293401,0.0233913209813908
5,6,MSS-Constrained Modified Lie,0.0168411645179077,0.0131631843609558,0.0300043488788635,0.884085815686858,0.00806098049343965,0.0219433683854239
5,7,Linear Elfouhaily,0.0188370017363674,0.0129408139391741,0.0317778156755415,0.828848026243839,0.00891789911609216,0.0228599165594494
5,7,MSS-Constrained Modified Lie,0.0168185278390853,0.013150249104003,0.0299687769430883,0.88424578975244,0.00836713626415468,0.0216016406789336
5,8,Linear Elfouhaily,0.0194432912964858,0.0129102183046222,0.032353509601108,0.814857939892239,0.00896975269881522,0.0233837569022928
5,8,MSS-Constrained Modified Lie,0.016897853937326,0.0131449644659162,0.0300428184032422,0.881990550735128,0.00826757216709918,0.0217752462361431
5,9,Linear Elfouhaily,0.0192679071286634,0.012652929061787,0.0319208361904504,0.810360501286244,0.0089677600590161,0.0229530761314343
5,9,MSS-Constrained Modified Lie,0.0168714987304421,0.0131052069766666,0.0299767057071087,0.881343306176482,0.00834178570053147,0.0216349200065772
5,10,Linear Elfouhaily,0.0189350247779493,0.0129123883628861,0.0318474131408354,0.825791391027935,0.00896730953651823,0.0228801036043172
5,10,MSS-Constrained Modified Lie,0.016831439154384,0.0131447715535924,0.0299762107079765,0.883722465790573,0.00839401051211204,0.0215822001958644
5,11,Linear Elfouhaily,0.0191157653199768,0.0132046947433864,0.0323204600633632,0.831128812064876,0.00884018946388611,0.0234802705994771
5,11,MSS-Constrained Modified Lie,0.01685683637479,0.0131900232099817,0.0300468595847717,0.884575169361111,0.00819212432161883,0.0218547352631529
5,12,Linear Elfouhaily,0.0190528658211171,0.0127576997544981,0.0318105655756152,0.818287720468644,0.00871048419910631,0.0231000813765089
5,12,MSS-Constrained Modified Lie,0.0168454348749977,0.0131209372004885,0.0299663720754862,0.882554055436616,0.008146322394219,0.0218200496812672
5,13,Linear Elfouhaily,0.0190149078437658,0.0132157602003372,0.032230668044103,0.833679192871339,0.0086635024863331,0.0235671655577699
5,13,MSS-Constrained Modified Lie,0.0168413643715034,0.0131906531681881,0.0300320175396915,0.885002534726572,0.00803584545493184,0.0219961720847596
5,14,Linear Elfouhaily,0.0193645185759731,0.0130453701647732,0.0324098887407462,0.820776382300524,0.00859038962525623,0.02381949911549
5,14,MSS-Constrained Modified Lie,0.0168852234145819,0.0131656063467415,0.0300508297613233,0.883012856941642,0.00790756868649997,0.0221432610748234
5,15,Linear Elfouhaily,0.0191618428955059,0.0129103945554611,0.032072237450967,0.820826029246116,0.0086438809260999,0.0234283565248671
5,15,MSS-Constrained Modified Lie,0.016858857788018,0.0131447916676003,0.0300036494556184,0.883004221895793,0.00803128517716274,0.0219723642784556
5,16,Linear Elfouhaily,0.0192999209229016,0.012792994889616,0.0320929158125176,0.814157350899079,0.00885118707537749,0.0232417287371401
5,16,MSS-Constrained Modified Lie,0.0168786144175916,0.0131277572314367,0.0300063716490283,0.881915290441728,0.00822759488086992,0.0217787767681584
5,17,Linear Elfouhaily,0.0196598848574623,0.0132301742030684,0.0328900590605307,0.820336992776238,0.00867171702677899,0.0242183420337517
5,17,MSS-Constrained Modified Lie,0.0169240866432668,0.0131932666459746,0.0301173532892414,0.882924463123957,0.0078875579290292,0.0222297953602122
5,18,Linear Elfouhaily,0.0189199822148102,0.0127585727590787,0.0316785549738889,0.821184390366479,0.00876385948587143,0.0229146954880174
5,18,MSS-Constrained Modified Lie,0.0168289143351268,0.0131220118264809,0.0299509261616077,0.883023298502816,0.00823719860064386,0.0217137275609639
5,19,Linear Elfouhaily,0.0190068275721901,0.0131756185509488,0.0321824461231388,0.83258903892837,0.00886876780240299,0.0233136783207358
5,19,MSS-Constrained Modified Lie,0.016838222314961,0.0131837226166147,0.0300219449315757,0.884852554248487,0.00821813522884606,0.0218038097027297
